<<<<<<< Updated upstream
1.0 5.0 -3.0251969289520106 -3.0567093969619274
-3.0251969289520106 -3.0567093969619274 0.958284370264365 -0.7819560880361056
0.958284370264365 -0.7819560880361056 -0.07858662066866964 -0.09630734958640381
-0.07858662066866964 -0.09630734958640381 0.5436821156125159 -0.44528100163801304
0.5436821156125159 -0.44528100163801304 -0.043960637108494204 -0.05367544435154126
-0.043960637108494204 -0.05367544435154126 0.2926340838408687 -0.23878931791776617
0.2926340838408687 -0.23878931791776617 -0.02399776594566512 -0.02940902731088967
-0.02399776594566512 -0.02940902731088967 0.16602076271348837 -0.135972339988639
0.16602076271348837 -0.135972339988639 -0.013424130536025343 -0.016390676740131806
-0.013424130536025343 -0.016390676740131806 0.08935814401121979 -0.07291605383938886
0.08935814401121979 -0.07291605383938886 -0.007327959847406585 -0.008980384980230908
-0.007327959847406585 -0.008980384980230908 0.05069787038345797 -0.041522153799908396
0.05069787038345797 -0.041522153799908396 -0.004099250577696966 -0.005005130030368554
-0.004099250577696966 -0.005005130030368554 0.027286846621752025 -0.02226601769168564
0.027286846621752025 -0.02226601769168564 -0.002237697511794819 -0.00274229035205855
-0.002237697511794819 -0.00274229035205855 0.01548135352182326 -0.012679416371781448
0.01548135352182326 -0.012679416371781448 -0.0012517648911153827 -0.001528388791878032
-0.0012517648911153827 -0.001528388791878032 0.008332446995159165 -0.006799264602801992
0.008332446995159165 -0.006799264602801992 -6.833129900492093E-4 -8.373979948023315E-4
-6.833129900492093E-4 -8.373979948023315E-4 0.004727463008898458 -0.003871851164167917
0.004727463008898458 -0.003871851164167917 -3.8224434269802833E-4 -4.667156067801018E-4
-3.8224434269802833E-4 -4.667156067801018E-4 0.0025444373946752314 -0.0020762580798704064
0.0025444373946752314 -0.0020762580798704064 -2.0865940991036426E-4 -2.5571158107744077E-4
-2.0865940991036426E-4 -2.5571158107744077E-4 0.001443558711485419 -0.0011822930773020906
0.001443558711485419 -0.0011822930773020906 -1.1671955739383918E-4 -1.42514747206931E-4
-1.1671955739383918E-4 -1.42514747206931E-4 7.770203855577612E-4 -6.340550822249148E-4
7.770203855577612E-4 -6.340550822249148E-4 -6.371718124185681E-5 -7.808527407196466E-5
-6.371718124185681E-5 -7.808527407196466E-5 4.4074388257547094E-4 -3.609750175894376E-4
4.4074388257547094E-4 -3.609750175894376E-4 -3.5635250668136476E-5 -4.351319411270136E-5
-3.5635250668136476E-5 -4.351319411270136E-5 2.3732183612918181E-4 -1.9366792636965057E-4
2.3732183612918181E-4 -1.9366792636965057E-4 -1.9455592582486935E-5 -2.3843323590737588E-5
-1.9455592582486935E-5 -2.3843323590737588E-5 1.3460111487806456E-4 -1.1024250564730433E-4
1.3460111487806456E-4 -1.1024250564730433E-4 -1.087481946457209E-5 -1.3278936441259726E-5
-1.087481946457209E-5 -1.3278936441259726E-5 7.735328886193329E-5 -6.396233770963914E-5
7.735328886193329E-5 -6.396233770963914E-5 -6.0079702399247915E-6 -7.268543209061262E-6
-6.0079702399247915E-6 -7.268543209061262E-6 4.334530843303409E-5 -3.631429318115439E-5
4.334530843303409E-5 -3.631429318115439E-5 -3.177201390542829E-6 -3.7946709889275723E-6
-3.177201390542829E-6 -3.7946709889275723E-6 2.2463080626578288E-5 -1.9029471615880365E-5
2.2463080626578288E-5 -1.9029471615880365E-5 -1.5527303052678353E-6 -1.8344957680278747E-6
-1.5527303052678353E-6 -1.8344957680278747E-6 1.7432895825405933E-5 -1.6947395047929694E-5
1.7432895825405933E-5 -1.6947395047929694E-5 -2.2988503346910525E-7 -2.3815408239255155E-7
-2.2988503346910525E-7 -2.3815408239255155E-7 -2.14140976532974E-12 -9.265054772267733E-12
=======
3.0 3.0 -0.029227779834559403 -0.058455559669118806
2.9707722201654407 2.941544440330881 -0.014378036665005397 -0.02847315827698488
2.9563941835004353 2.913071282053896 -0.03269957168248282 -0.06444078650629606
2.9236946118179525 2.8486304955476003 -0.014871308206909274 -0.028978992467717308
2.9088233036110434 2.819651503079883 -0.03451901665454873 -0.06692162915087305
2.8743042869564945 2.75272987392901 -0.014981848126996596 -0.028696322162549897
2.8593224388294978 2.72403355176646 -0.03541806029096042 -0.06748450840022009
2.823904378538537 2.65654904336624 -0.014929950064825798 -0.02809028865399838
2.8089744284737113 2.6284587547122418 -0.03569691866221458 -0.06680579034315466
2.773277509811497 2.5616529643690873 -0.01480430971470706 -0.0273492311764322
2.7584732000967898 2.534303733192655 -0.035676202382768696 -0.06555389617823
2.722796997714021 2.468749837014425 -0.014629552904994072 -0.026529121620246045
2.708167444809027 2.4422207153941793 -0.035554853456002206 -0.06412661064181438
2.6726125913530248 2.378094104752365 -0.014417372896518038 -0.025657193715358996
2.6581952184565067 2.352436911037006 -0.03531232322570079 -0.0625010623703122
2.622882895230806 2.2899358486666936 -0.01420549770111106 -0.024804522148568136
2.608677397529695 2.2651313265181257 -0.0348360092363489 -0.06049666078822261
2.573841388293346 2.204634665729903 -0.013987152682683149 -0.023961508909876753
2.559854235610663 2.1806731568200264 -0.03438315149413393 -0.05858022262915908
2.5254710841165293 2.122092934190867 -0.01376577052663093 -0.023134095299670032
2.5117053135898986 2.098958838891197 -0.03384443183985668 -0.05656560821299966
2.477860881750042 2.0423932306781976 -0.013539182669843806 -0.0223195218403662
2.464321699080198 2.0200737088378315 -0.03330418666818661 -0.054600754363963215
2.4310175124120117 1.9654729544738683 -0.013315529783949604 -0.021531160126343568
2.417701982628062 1.9439417943475248 -0.03272612208294852 -0.05262656600447518
2.3849758605451137 1.8913152283430497 -0.013082929335344374 -0.020749848157890632
2.371892931209769 1.870565380185159 -0.03223955482674162 -0.05085068920098803
2.3396533763830276 1.8197146909841708 -0.012846184717988124 -0.019982781458472213
2.3268071916650395 1.7997319095256985 -0.03172678545312831 -0.04907987939113323
2.2950804062119112 1.7506520301345652 -0.012620298254875349 -0.019253138758016358
2.2824601079570357 1.7313988913765488 -0.031103354457077834 -0.04718795587036836
2.251356753499958 1.6842109355061805 -0.012398356956532915 -0.018550101698488766
2.238958396543425 1.6656608338076917 -0.03057707483779122 -0.045495294640886995
2.208381321705634 1.6201655391668046 -0.012172897026960302 -0.017861143889475434
2.1962084246786735 1.6023043952773293 -0.030022427837768328 -0.043807379610057616
2.166185996840905 1.5584970156672717 -0.011958099668083897 -0.017206890519040976
2.154227897172821 1.5412901251482307 -0.02941992478788491 -0.04209827531959859
2.1248079723849362 1.499191849828632 -0.011747127776841743 -0.01657674335828987
2.1130608446080945 1.4826151064703421 -0.028840360619784865 -0.040471294936967
2.0842204839883096 1.4421438115333751 -0.011533315617092043 -0.01596059521670435
2.0726871683712176 1.4261832163166708 -0.028350898879775863 -0.03901560907679224
2.0443362694914415 1.3871676072398786 -0.011312610927993154 -0.015352158709705523
2.0330236585634482 1.371815448530173 -0.027879091337046587 -0.03762373155477044
2.0051445672264014 1.3341917169754025 -0.011095738348884414 -0.01476586021853297
1.994048828877517 1.3194258567568695 -0.027397616767959106 -0.03625700981205135
1.966651212109558 1.2831688469448181 -0.010882730168063823 -0.014201176329977638
1.9557684819414942 1.2689676706148405 -0.0269396921357484 -0.034958737388635586
1.928828789805746 1.234008933226205 -0.01067343468460419 -0.013657110282281162
